employee_id,first_name,age,gender,department,job_level,years_experience,salary,bonus_percent,performance_score,source_file
GEN_1043,,47.0,Female,HR,,,59033.0,5.75,,employees_cleaned_data.csv
GEN_1044,,39.0,Female,Engineering,,,119388.0,9.62,,employees_cleaned_data.csv
GEN_1045,,41.0,Male,Marketing,,,76659.0,5.2,,employees_cleaned_data.csv
GEN_1046,,35.0,Other,Engineering,,,138381.0,6.05,,employees_cleaned_data.csv
GEN_1047,,45.0,Female,HR,,,125457.0,14.46,,employees_cleaned_data.csv
GEN_1048,,29.0,Other,HR,,,131015.0,11.44,,employees_cleaned_data.csv
GEN_1049,,23.0,Female,Marketing,,,48058.0,5.68,,employees_cleaned_data.csv
GEN_1050,,55.0,Other,Marketing,,,56819.0,6.97,,employees_cleaned_data.csv
GEN_1051,,38.0,Other,Marketing,,,77241.0,5.3,,employees_cleaned_data.csv
GEN_1052,,57.0,Male,Sales,,,66674.0,18.43,,employees_cleaned_data.csv
GEN_1053,,48.0,Female,Sales,,,120751.0,8.0,,employees_cleaned_data.csv
GEN_1054,,45.0,Male,HR,,,40886.0,12.55,,employees_cleaned_data.csv
GEN_1055,,24.0,Other,Engineering,,,105250.0,15.11,,employees_cleaned_data.csv
GEN_1056,,27.0,Female,Operations,,,37190.0,6.69,,employees_cleaned_data.csv
GEN_1057,,48.0,Female,Marketing,,,58933.0,6.44,,employees_cleaned_data.csv
GEN_1058,,55.0,Other,Engineering,,,37597.0,6.23,,employees_cleaned_data.csv
GEN_1059,,51.0,Other,Sales,,,140053.0,16.78,,employees_cleaned_data.csv
GEN_1060,,30.0,Other,Operations,,,48313.0,6.16,,employees_cleaned_data.csv
GEN_1061,,48.0,Female,Finance,,,100969.0,14.23,,employees_cleaned_data.csv
GEN_1062,,28.0,Other,Finance,,,48099.0,18.87,,employees_cleaned_data.csv
GEN_1063,,27.0,Other,HR,,,137011.0,7.06,,employees_cleaned_data.csv
GEN_1064,,58.0,Female,Engineering,,,135469.0,19.09,,employees_cleaned_data.csv
GEN_1065,,25.0,Male,Engineering,,,129977.0,14.62,,employees_cleaned_data.csv
GEN_1066,,30.0,Female,Operations,,,141668.0,6.72,,employees_cleaned_data.csv
GEN_1067,,27.0,Male,Operations,,,83384.0,11.61,,employees_cleaned_data.csv
GEN_1068,,53.0,Male,Operations,,,32745.0,17.9,,employees_cleaned_data.csv
GEN_1069,,54.0,Female,Finance,,,69071.0,8.07,,employees_cleaned_data.csv
GEN_1070,,34.0,Male,Sales,,,43565.0,14.05,,employees_cleaned_data.csv
GEN_1071,,57.0,Other,HR,,,63866.0,16.41,,employees_cleaned_data.csv
GEN_1072,,53.0,Female,Operations,,,52313.0,14.27,,employees_cleaned_data.csv
GEN_1073,,46.0,Female,Finance,,,95697.0,16.24,,employees_cleaned_data.csv
GEN_1074,,49.0,Other,Finance,,,107794.0,8.2,,employees_cleaned_data.csv
GEN_1075,,54.0,Male,Operations,,,134946.0,18.02,,employees_cleaned_data.csv
GEN_1076,,36.0,Female,HR,,,120270.0,5.48,,employees_cleaned_data.csv
GEN_1077,,44.0,Female,HR,,,44226.0,11.22,,employees_cleaned_data.csv
GEN_1078,,22.0,Male,Marketing,,,101312.0,12.87,,employees_cleaned_data.csv
GEN_1079,,43.0,Male,Finance,,,91516.0,17.35,,employees_cleaned_data.csv
GEN_1080,,29.0,Male,Sales,,,107275.0,14.06,,employees_cleaned_data.csv
GEN_1081,,25.0,Other,Finance,,,92491.0,19.48,,employees_cleaned_data.csv
GEN_1082,,22.0,Female,HR,,,60111.0,12.6,,employees_cleaned_data.csv
GEN_1083,,49.0,Male,HR,,,61131.0,12.95,,employees_cleaned_data.csv
GEN_1084,,56.0,Male,Marketing,,,144914.0,12.82,,employees_cleaned_data.csv
GEN_1085,,38.0,Male,Marketing,,,130158.0,7.57,,employees_cleaned_data.csv
GEN_1086,,28.0,Female,Finance,,,55431.0,11.53,,employees_cleaned_data.csv
GEN_1087,,57.0,Female,Marketing,,,146895.0,13.74,,employees_cleaned_data.csv
GEN_1088,,33.0,Male,Operations,,,99122.0,18.22,,employees_cleaned_data.csv
GEN_1089,,55.0,Other,Engineering,,,141250.0,15.19,,employees_cleaned_data.csv
GEN_1090,,26.0,Male,Finance,,,97155.0,13.83,,employees_cleaned_data.csv
GEN_1091,,36.0,Male,Engineering,,,90948.0,12.85,,employees_cleaned_data.csv
GEN_1092,,27.0,Male,Finance,,,89353.0,12.98,,employees_cleaned_data.csv
GEN_1093,,37.0,Male,HR,,,94641.0,16.71,,employees_cleaned_data.csv
GEN_1094,,27.0,Other,Operations,,,141628.0,9.6,,employees_cleaned_data.csv
GEN_1095,,23.0,Other,Engineering,,,148581.0,5.6,,employees_cleaned_data.csv
GEN_1096,,58.0,Male,Finance,,,40293.0,14.87,,employees_cleaned_data.csv
GEN_1097,,39.0,Other,Engineering,,,99519.0,6.11,,employees_cleaned_data.csv
GEN_1098,,46.0,Female,HR,,,87169.0,6.0,,employees_cleaned_data.csv
GEN_1099,,22.0,Male,HR,,,49675.0,13.0,,employees_cleaned_data.csv
GEN_1100,,28.0,Female,Sales,,,78868.0,14.52,,employees_cleaned_data.csv
GEN_1101,,28.0,Other,Finance,,,119709.0,6.48,,employees_cleaned_data.csv
GEN_1102,,53.0,Male,Sales,,,88954.0,11.83,,employees_cleaned_data.csv
GEN_1103,,44.0,Other,HR,,,44743.0,5.25,,employees_cleaned_data.csv
GEN_1104,,49.0,Male,Finance,,,50878.0,7.96,,employees_cleaned_data.csv
GEN_1105,,24.0,Male,Marketing,,,81955.0,7.13,,employees_cleaned_data.csv
GEN_1106,,43.0,Other,Engineering,,,89664.0,16.84,,employees_cleaned_data.csv
GEN_1107,,35.0,Male,HR,,,122446.0,19.82,,employees_cleaned_data.csv
GEN_1108,,31.0,Other,Marketing,,,111253.0,19.05,,employees_cleaned_data.csv
GEN_1109,,38.0,Male,Finance,,,115371.0,17.55,,employees_cleaned_data.csv
GEN_1110,,49.0,Female,HR,,,101368.0,13.84,,employees_cleaned_data.csv
GEN_1111,,36.0,Female,HR,,,134397.0,17.12,,employees_cleaned_data.csv
GEN_1112,,23.0,Male,Operations,,,52420.0,16.39,,employees_cleaned_data.csv
GEN_1113,,52.0,Male,Marketing,,,127909.0,14.13,,employees_cleaned_data.csv
GEN_1114,,35.0,Female,HR,,,53225.0,6.78,,employees_cleaned_data.csv
GEN_1115,,55.0,Male,HR,,,136122.0,16.17,,employees_cleaned_data.csv
GEN_1116,,53.0,Male,HR,,,112566.0,14.97,,employees_cleaned_data.csv
GEN_1117,,27.0,Male,Engineering,,,134576.0,13.4,,employees_cleaned_data.csv
GEN_1118,,56.0,Other,HR,,,37461.0,14.28,,employees_cleaned_data.csv
GEN_1119,,49.0,Female,HR,,,146981.0,5.71,,employees_cleaned_data.csv
GEN_1120,,42.0,Female,Engineering,,,113297.0,15.17,,employees_cleaned_data.csv
GEN_1121,,25.0,Male,Finance,,,106229.0,10.04,,employees_cleaned_data.csv
GEN_1122,,25.0,Other,Operations,,,54995.0,8.33,,employees_cleaned_data.csv
GEN_1123,,30.0,Female,Engineering,,,47347.0,18.79,,employees_cleaned_data.csv
GEN_1124,,47.0,Male,HR,,,78908.0,8.44,,employees_cleaned_data.csv
GEN_1125,,32.0,Other,HR,,,73949.0,6.79,,employees_cleaned_data.csv
GEN_1126,,36.0,Female,Marketing,,,82780.0,5.79,,employees_cleaned_data.csv
GEN_1127,,32.0,Male,Engineering,,,30282.0,9.55,,employees_cleaned_data.csv
GEN_1128,,39.0,Other,Sales,,,50307.0,17.05,,employees_cleaned_data.csv
GEN_1129,,51.0,Female,Sales,,,119906.0,8.75,,employees_cleaned_data.csv
GEN_1130,,50.0,Other,Finance,,,82395.0,5.92,,employees_cleaned_data.csv
GEN_1131,,55.0,Male,Finance,,,60841.0,19.09,,employees_cleaned_data.csv
GEN_1132,,32.0,Male,Engineering,,,119388.0,10.38,,employees_cleaned_data.csv
GEN_1133,,23.0,Female,HR,,,55150.0,15.31,,employees_cleaned_data.csv
GEN_1134,,56.0,Other,Marketing,,,88653.0,7.84,,employees_cleaned_data.csv
GEN_1135,,35.0,Other,HR,,,135441.0,11.88,,employees_cleaned_data.csv
GEN_1136,,38.0,Female,HR,,,149664.0,18.27,,employees_cleaned_data.csv
GEN_1137,,43.0,Female,Marketing,,,60911.0,12.23,,employees_cleaned_data.csv
GEN_1138,,43.0,Male,HR,,,51253.0,15.04,,employees_cleaned_data.csv
GEN_1139,,53.0,Male,HR,,,31932.0,6.31,,employees_cleaned_data.csv
GEN_1140,,45.0,Other,Operations,,,143175.0,17.43,,employees_cleaned_data.csv
GEN_1141,,33.0,Male,Operations,,,53284.0,18.94,,employees_cleaned_data.csv
GEN_1142,,36.0,Female,Marketing,,,81971.0,9.43,,employees_cleaned_data.csv
GEN_1143,,29.0,Male,HR,,,97496.0,10.18,,employees_cleaned_data.csv
GEN_1144,,47.0,Other,Finance,,,104071.0,11.21,,employees_cleaned_data.csv
GEN_1145,,22.0,Male,Operations,,,98828.0,19.34,,employees_cleaned_data.csv
GEN_1146,,58.0,Female,Operations,,,148362.0,11.83,,employees_cleaned_data.csv
GEN_1147,,38.0,Male,Engineering,,,47543.0,9.12,,employees_cleaned_data.csv
GEN_1148,,47.0,Male,Marketing,,,84189.0,7.14,,employees_cleaned_data.csv
GEN_1149,,59.0,Male,Sales,,,115925.0,9.32,,employees_cleaned_data.csv
GEN_1150,,23.0,Male,Operations,,,35901.0,11.88,,employees_cleaned_data.csv
GEN_1151,,36.0,Female,HR,,,95794.0,16.71,,employees_cleaned_data.csv
GEN_1152,,40.0,Male,Marketing,,,112368.0,18.11,,employees_cleaned_data.csv
GEN_1153,,22.0,Female,Finance,,,79416.0,7.06,,employees_cleaned_data.csv
GEN_1154,,26.0,Other,Operations,,,71869.0,7.91,,employees_cleaned_data.csv
GEN_1155,,43.0,Female,Sales,,,30138.0,19.92,,employees_cleaned_data.csv
GEN_1156,,53.0,Male,Finance,,,87866.0,13.24,,employees_cleaned_data.csv
GEN_1157,,36.0,Other,Operations,,,84575.0,14.07,,employees_cleaned_data.csv
GEN_1158,,48.0,Female,Sales,,,38767.0,17.09,,employees_cleaned_data.csv
GEN_1159,,53.0,Male,Operations,,,98344.0,6.67,,employees_cleaned_data.csv
GEN_1160,,33.0,Male,Finance,,,71568.0,13.61,,employees_cleaned_data.csv
GEN_1161,,50.0,Male,HR,,,125655.0,5.65,,employees_cleaned_data.csv
GEN_1162,,51.0,Female,HR,,,114761.0,11.62,,employees_cleaned_data.csv
GEN_1163,,26.0,Other,Operations,,,66609.0,18.07,,employees_cleaned_data.csv
GEN_1164,,46.0,Male,Finance,,,31651.0,15.72,,employees_cleaned_data.csv
GEN_1165,,33.0,Female,Operations,,,123269.0,17.15,,employees_cleaned_data.csv
GEN_1166,,58.0,Male,Sales,,,53312.0,19.62,,employees_cleaned_data.csv
GEN_1167,,32.0,Female,Finance,,,90011.0,6.71,,employees_cleaned_data.csv
GEN_1168,,29.0,Other,HR,,,107988.0,13.98,,employees_cleaned_data.csv
GEN_1169,,52.0,Female,Marketing,,,56832.0,15.81,,employees_cleaned_data.csv
GEN_1170,,47.0,Female,HR,,,82142.0,10.06,,employees_cleaned_data.csv
GEN_1171,,32.0,Other,HR,,,85249.0,9.53,,employees_cleaned_data.csv
GEN_1172,,49.0,Male,Marketing,,,109003.0,12.67,,employees_cleaned_data.csv
GEN_1173,,38.0,Female,Operations,,,52263.0,15.37,,employees_cleaned_data.csv
GEN_1174,,47.0,Other,Finance,,,130082.0,6.15,,employees_cleaned_data.csv
GEN_1175,,46.0,Female,Sales,,,104637.0,16.01,,employees_cleaned_data.csv
GEN_1176,,30.0,Other,HR,,,31283.0,18.55,,employees_cleaned_data.csv
GEN_1177,,39.0,Other,Finance,,,72946.0,12.85,,employees_cleaned_data.csv
GEN_1178,,29.0,Female,Engineering,,,106971.0,8.74,,employees_cleaned_data.csv
GEN_1179,,42.0,Other,Finance,,,55599.0,9.63,,employees_cleaned_data.csv
GEN_1180,,57.0,Other,Marketing,,,85243.0,19.39,,employees_cleaned_data.csv
GEN_1181,,46.0,Male,HR,,,92068.0,10.17,,employees_cleaned_data.csv
GEN_1182,,30.0,Other,Engineering,,,60373.0,6.83,,employees_cleaned_data.csv
GEN_1183,,51.0,Other,Finance,,,63840.0,6.22,,employees_cleaned_data.csv
GEN_1184,,50.0,Male,Marketing,,,92368.0,6.88,,employees_cleaned_data.csv
GEN_1185,,41.0,Other,Finance,,,50354.0,14.28,,employees_cleaned_data.csv
GEN_1186,,23.0,Female,HR,,,93437.0,17.4,,employees_cleaned_data.csv
GEN_1187,,34.0,Other,Finance,,,124848.0,7.38,,employees_cleaned_data.csv
GEN_1188,,31.0,Male,Operations,,,42991.0,12.88,,employees_cleaned_data.csv
GEN_1189,,24.0,Other,Marketing,,,119963.0,7.47,,employees_cleaned_data.csv
GEN_1190,,38.0,Male,Engineering,,,76099.0,13.7,,employees_cleaned_data.csv
GEN_1191,,35.0,Female,Operations,,,42411.0,8.37,,employees_cleaned_data.csv
GEN_1192,,44.0,Other,Marketing,,,38770.0,19.1,,employees_cleaned_data.csv
GEN_1193,,36.0,Other,Marketing,,,32539.0,17.4,,employees_cleaned_data.csv
GEN_1194,,23.0,Female,Operations,,,100968.0,15.11,,employees_cleaned_data.csv
GEN_1195,,29.0,Male,HR,,,40487.0,16.94,,employees_cleaned_data.csv
GEN_1196,,27.0,Male,HR,,,149006.0,14.57,,employees_cleaned_data.csv
GEN_1197,,41.0,Male,Engineering,,,75253.0,11.07,,employees_cleaned_data.csv
GEN_1198,,40.0,Female,Engineering,,,41950.0,14.7,,employees_cleaned_data.csv
GEN_1199,,38.0,Other,Marketing,,,49873.0,5.12,,employees_cleaned_data.csv
GEN_1200,,28.0,Female,Finance,,,78438.0,19.85,,employees_cleaned_data.csv
GEN_1201,,50.0,Female,HR,,,135400.0,12.69,,employees_cleaned_data.csv
GEN_1202,,23.0,Other,Operations,,,104085.0,18.76,,employees_cleaned_data.csv
GEN_1203,,41.0,Female,Operations,,,142234.0,5.64,,employees_cleaned_data.csv
GEN_1204,,51.0,Male,Operations,,,79678.0,8.06,,employees_cleaned_data.csv
GEN_1205,,59.0,Male,Operations,,,125071.0,11.78,,employees_cleaned_data.csv
GEN_1206,,51.0,Other,Finance,,,104218.0,9.12,,employees_cleaned_data.csv
GEN_1207,,46.0,Other,HR,,,64624.0,5.52,,employees_cleaned_data.csv
GEN_1208,,26.0,Male,Marketing,,,123583.0,17.39,,employees_cleaned_data.csv
GEN_1209,,32.0,Other,Finance,,,84131.0,7.66,,employees_cleaned_data.csv
GEN_1210,,38.0,Male,HR,,,50963.0,17.94,,employees_cleaned_data.csv
GEN_1211,,44.0,Other,Marketing,,,115457.0,13.2,,employees_cleaned_data.csv
GEN_1212,,45.0,Female,Marketing,,,112325.0,14.03,,employees_cleaned_data.csv
GEN_1213,,46.0,Other,Sales,,,94429.0,10.77,,employees_cleaned_data.csv
GEN_1214,,37.0,Other,Marketing,,,53989.0,17.23,,employees_cleaned_data.csv
GEN_1215,,33.0,Other,HR,,,112279.0,7.28,,employees_cleaned_data.csv
GEN_1216,,43.0,Female,Engineering,,,76486.0,6.16,,employees_cleaned_data.csv
GEN_1217,,39.0,Other,Engineering,,,38179.0,6.31,,employees_cleaned_data.csv
GEN_1218,,33.0,Male,Finance,,,58270.0,7.87,,employees_cleaned_data.csv
GEN_1219,,51.0,Male,Marketing,,,130318.0,13.97,,employees_cleaned_data.csv
GEN_1220,,23.0,Male,Finance,,,77684.0,12.24,,employees_cleaned_data.csv
GEN_1221,,23.0,Male,HR,,,56086.0,9.61,,employees_cleaned_data.csv
GEN_1222,,49.0,Other,Operations,,,138899.0,15.16,,employees_cleaned_data.csv
GEN_1223,,48.0,Male,Finance,,,39557.0,11.66,,employees_cleaned_data.csv
GEN_1224,,29.0,Other,Finance,,,146450.0,5.23,,employees_cleaned_data.csv
GEN_1225,,37.0,Other,Engineering,,,90920.0,17.65,,employees_cleaned_data.csv
GEN_1226,,30.0,Female,Operations,,,69758.0,9.32,,employees_cleaned_data.csv
GEN_1227,,40.0,Male,Engineering,,,58671.0,17.05,,employees_cleaned_data.csv
GEN_1228,,30.0,Male,Operations,,,68714.0,11.87,,employees_cleaned_data.csv
GEN_1229,,43.0,Female,Marketing,,,148424.0,18.61,,employees_cleaned_data.csv
GEN_1230,,58.0,Female,Sales,,,134641.0,10.27,,employees_cleaned_data.csv
GEN_1231,,47.0,Female,Sales,,,63787.0,6.91,,employees_cleaned_data.csv
GEN_1232,,47.0,Female,Engineering,,,85419.0,13.3,,employees_cleaned_data.csv
GEN_1233,,32.0,Male,Operations,,,127756.0,13.65,,employees_cleaned_data.csv
GEN_1234,,27.0,Male,Engineering,,,36155.0,14.18,,employees_cleaned_data.csv
GEN_1235,,22.0,Other,Finance,,,134350.0,11.89,,employees_cleaned_data.csv
GEN_1236,,43.0,Male,Operations,,,50093.0,7.09,,employees_cleaned_data.csv
GEN_1237,,48.0,Male,Finance,,,147961.0,5.42,,employees_cleaned_data.csv
GEN_1238,,24.0,Other,Operations,,,147235.0,11.13,,employees_cleaned_data.csv
GEN_1239,,34.0,Male,Engineering,,,31207.0,9.77,,employees_cleaned_data.csv
GEN_1240,,24.0,Other,Finance,,,84312.0,6.4,,employees_cleaned_data.csv
GEN_1241,,38.0,Male,HR,,,63848.0,16.11,,employees_cleaned_data.csv
GEN_1242,,32.0,Female,Finance,,,74936.0,12.69,,employees_cleaned_data.csv
GEN_1243,,23.0,Female,Marketing,,,138048.0,6.58,,employees_cleaned_data.csv
GEN_1244,,29.0,Female,Sales,,,111554.0,16.96,,employees_cleaned_data.csv
GEN_1245,,32.0,Other,Engineering,,,121088.0,16.85,,employees_cleaned_data.csv
GEN_1246,,30.0,Other,Sales,,,112035.0,13.38,,employees_cleaned_data.csv
GEN_1247,,56.0,Male,Sales,,,117527.0,13.22,,employees_cleaned_data.csv
GEN_1248,,30.0,Female,Engineering,,,138896.0,9.19,,employees_cleaned_data.csv
GEN_1249,,54.0,Other,Operations,,,41908.0,16.2,,employees_cleaned_data.csv
GEN_1250,,35.0,Other,Finance,,,116269.0,17.83,,employees_cleaned_data.csv
GEN_1251,,52.0,Other,Operations,,,47438.0,17.95,,employees_cleaned_data.csv
GEN_1252,,39.0,Male,Sales,,,116497.0,7.37,,employees_cleaned_data.csv
GEN_1253,,33.0,Female,Operations,,,139151.0,17.68,,employees_cleaned_data.csv
GEN_1254,,47.0,Female,Finance,,,40800.0,11.8,,employees_cleaned_data.csv
GEN_1255,,44.0,Female,Finance,,,37368.0,15.33,,employees_cleaned_data.csv
GEN_1256,,43.0,Male,Marketing,,,122573.0,7.0,,employees_cleaned_data.csv
GEN_1257,,38.0,Male,Sales,,,142169.0,17.89,,employees_cleaned_data.csv
GEN_1258,,36.0,Female,Marketing,,,58044.0,13.13,,employees_cleaned_data.csv
GEN_1259,,40.0,Female,Marketing,,,119097.0,7.39,,employees_cleaned_data.csv
GEN_1260,,24.0,Male,Operations,,,135659.0,19.76,,employees_cleaned_data.csv
GEN_1261,,37.0,Male,Finance,,,109063.0,15.96,,employees_cleaned_data.csv
GEN_1262,,36.0,Other,Finance,,,63154.0,6.67,,employees_cleaned_data.csv
GEN_1263,,53.0,Female,Finance,,,76037.0,16.28,,employees_cleaned_data.csv
GEN_1264,,35.0,Female,Marketing,,,80961.0,13.84,,employees_cleaned_data.csv
GEN_1265,,58.0,Male,HR,,,46052.0,15.85,,employees_cleaned_data.csv
GEN_1266,,26.0,Male,HR,,,38004.0,19.55,,employees_cleaned_data.csv
GEN_1267,,52.0,Male,Operations,,,127808.0,5.92,,employees_cleaned_data.csv
GEN_1268,,33.0,Other,Operations,,,94028.0,15.51,,employees_cleaned_data.csv
GEN_1269,,29.0,Female,Operations,,,65292.0,16.75,,employees_cleaned_data.csv
GEN_1270,,25.0,Female,Engineering,,,79812.0,16.73,,employees_cleaned_data.csv
GEN_1271,,39.0,Male,Finance,,,129239.0,7.9,,employees_cleaned_data.csv
GEN_1272,,36.0,Male,Marketing,,,58064.0,11.22,,employees_cleaned_data.csv
GEN_1273,,26.0,Other,Finance,,,137439.0,6.41,,employees_cleaned_data.csv
GEN_1274,,41.0,Male,Engineering,,,141623.0,17.52,,employees_cleaned_data.csv
GEN_1275,,50.0,Female,Sales,,,35997.0,9.91,,employees_cleaned_data.csv
GEN_1276,,51.0,Female,Engineering,,,121074.0,6.08,,employees_cleaned_data.csv
GEN_1277,,34.0,Female,Sales,,,124289.0,8.22,,employees_cleaned_data.csv
GEN_1278,,43.0,Female,HR,,,85751.0,8.52,,employees_cleaned_data.csv
GEN_1279,,48.0,Male,Finance,,,100202.0,11.79,,employees_cleaned_data.csv
GEN_1280,,59.0,Other,Finance,,,122541.0,10.73,,employees_cleaned_data.csv
GEN_1281,,33.0,Female,Sales,,,138944.0,13.61,,employees_cleaned_data.csv
GEN_1282,,38.0,Male,Operations,,,64518.0,18.7,,employees_cleaned_data.csv
GEN_1283,,23.0,Other,Operations,,,144367.0,16.47,,employees_cleaned_data.csv
GEN_1284,,23.0,Male,Engineering,,,79879.0,5.78,,employees_cleaned_data.csv
GEN_1285,,53.0,Male,Engineering,,,59336.0,19.01,,employees_cleaned_data.csv
GEN_1286,,38.0,Female,Operations,,,72752.0,13.07,,employees_cleaned_data.csv
GEN_1287,,47.0,Male,Operations,,,39528.0,10.49,,employees_cleaned_data.csv
GEN_1288,,24.0,Female,HR,,,135848.0,17.41,,employees_cleaned_data.csv
GEN_1289,,49.0,Other,HR,,,38894.0,10.75,,employees_cleaned_data.csv
GEN_1290,,52.0,Other,Operations,,,121396.0,16.81,,employees_cleaned_data.csv
GEN_1291,,31.0,Other,Operations,,,35347.0,11.92,,employees_cleaned_data.csv
GEN_1292,,46.0,Male,Sales,,,41120.0,17.08,,employees_cleaned_data.csv
GEN_1293,,34.0,Other,Operations,,,128876.0,13.68,,employees_cleaned_data.csv
GEN_1294,,58.0,Male,Operations,,,91202.0,12.36,,employees_cleaned_data.csv
GEN_1295,,38.0,Male,HR,,,59794.0,12.22,,employees_cleaned_data.csv
GEN_1296,,27.0,Female,Sales,,,85533.0,8.22,,employees_cleaned_data.csv
GEN_1297,,47.0,Female,HR,,,118503.0,14.92,,employees_cleaned_data.csv
GEN_1298,,33.0,Male,HR,,,112379.0,9.39,,employees_cleaned_data.csv
GEN_1299,,46.0,Male,HR,,,97169.0,17.92,,employees_cleaned_data.csv
GEN_1300,,49.0,Male,Engineering,,,97904.0,5.33,,employees_cleaned_data.csv
GEN_1301,,55.0,Female,HR,,,115090.0,19.63,,employees_cleaned_data.csv
GEN_1302,,37.0,Other,Operations,,,85718.0,14.5,,employees_cleaned_data.csv
GEN_1303,,53.0,Female,Marketing,,,103445.0,10.17,,employees_cleaned_data.csv
GEN_1304,,38.0,Other,Finance,,,124299.0,10.93,,employees_cleaned_data.csv
GEN_1305,,47.0,Male,Sales,,,75000.0,6.03,,employees_cleaned_data.csv
GEN_1306,,27.0,Male,Engineering,,,144534.0,7.73,,employees_cleaned_data.csv
GEN_1307,,27.0,Other,Operations,,,114742.0,15.6,,employees_cleaned_data.csv
GEN_1308,,55.0,Female,Marketing,,,118296.0,14.29,,employees_cleaned_data.csv
GEN_1309,,45.0,Female,Marketing,,,148418.0,15.51,,employees_cleaned_data.csv
GEN_1310,,41.0,Other,Operations,,,128745.0,13.53,,employees_cleaned_data.csv
GEN_1311,,36.0,Other,Engineering,,,74695.0,12.85,,employees_cleaned_data.csv
GEN_1312,,29.0,Male,Operations,,,120353.0,13.86,,employees_cleaned_data.csv
GEN_1313,,38.0,Female,HR,,,63937.0,18.28,,employees_cleaned_data.csv
GEN_1314,,24.0,Other,Engineering,,,142990.0,12.8,,employees_cleaned_data.csv
